Relatório do grupo de anúncios
1 de abril de 2026 - 30 de abril de 2026
Status do grupo de anúncios,Grupo de anúncios,Campanha,Status,Motivos do status,Código da moeda,CPC máx. padrão,CPV máx.,CPA desejado,Tipo de grupo de anúncios,Código da moeda,CPV médio do TrueView,Impr.,Interações,Taxa de interação,Custo médio,Custo,Inclusões de marca,Locais de interesse,Cliques,Taxa de conv.,Conversões,CPC méd.,Custo / conv.
Ativado,4 - Toledo - German Tech Sistemas (grupo de anúncios dinâmicos),4 - Toledo - German Tech Sistemas,Não qualificado,campanha pausada; desconhecido,BRL, --, --, --,Dinâmico,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Gruber Advogados Associados - 1 (grupo de anúncios dinâmicos),3 - Gruber Advogados Associados,Não qualificado,campanha pausada; desconhecido,BRL, --, --, --,Dinâmico,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Vídeo Personalizado – 2022-10-07 - Poder da mente,Vídeo Personalizado – 2022-10-07 - Poder da mente,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,20", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Maiara e Maraisa comeram porco no rolete,Porco no rolete,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Intercâmbio vídeo completo,Intercâmbio vídeo completo,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Dicas emagrecimento vídeo completo Lilian,Como emagrecer vídeo completo Lilian,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,1 - Toledo - Gruber Contabilidade (grupo de anúncios dinâmicos),1 - Toledo - Gruber Contabilidade #2,Não qualificado,campanha pausada; desconhecido,BRL, --, --, --,Dinâmico,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Talk Land Auto Estima x Aparência,Auto Estima - Aparência,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,É assim que se abre uma espumante,É assim que se abre uma espumante,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,5 - Cascavel - German Tech Sistemas (grupo de anúncios dinâmicos),5 - Cascavel - German Tech Sistemas,Não qualificado,campanha pausada; desconhecido,BRL, --, --, --,Dinâmico,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
